Curso,Unidade de execução,Turno,Turma,Inscritos no turno,Dia da Semana,Início,Fim,Dia,Características da sala pedida para a aula,Sala da aula,Lotação,"Características reais da sala"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,19:30:00,21:00:00,29/11/2022,Laboratório de Informática,D1.10,20,"Horário sala visível portal público, Laboratório de Informática"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,19:30:00,21:00:00,22/11/2022,Laboratório de Informática,D1.11,22,"Horário sala visível portal público, Laboratório de Informática"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,19:30:00,21:00:00,15/11/2022,Laboratório de Informática,D1.11,22,"Horário sala visível portal público, Laboratório de Informática"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,19:30:00,21:00:00,08/11/2022,Laboratório de Informática,D1.11,22,"Horário sala visível portal público, Laboratório de Informática"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,19:30:00,21:00:00,25/10/2022,Laboratório de Informática,D1.11,22,"Horário sala visível portal público, Laboratório de Informática"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,19:30:00,21:00:00,18/10/2022,Laboratório de Informática,D1.11,22,"Horário sala visível portal público, Laboratório de Informática"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,19:30:00,21:00:00,11/10/2022,Laboratório de Informática,D1.11,22,"Horário sala visível portal público, Laboratório de Informática"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,19:30:00,21:00:00,04/10/2022,Laboratório de Informática,D1.11,22,"Horário sala visível portal público, Laboratório de Informática"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,19:30:00,21:00:00,27/09/2022,Laboratório de Informática,D1.06,28,"Horário sala visível portal público, Laboratório de Informática"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,18:00:00,19:30:00,29/11/2022,Laboratório de Informática,D1.10,20,"Horário sala visível portal público, Laboratório de Informática"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,18:00:00,19:30:00,22/11/2022,Laboratório de Informática,D1.11,22,"Horário sala visível portal público, Laboratório de Informática"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,18:00:00,19:30:00,15/11/2022,Laboratório de Informática,D1.11,22,"Horário sala visível portal público, Laboratório de Informática"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,18:00:00,19:30:00,08/11/2022,Laboratório de Informática,D1.11,22,"Horário sala visível portal público, Laboratório de Informática"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,18:00:00,19:30:00,25/10/2022,Laboratório de Informática,D1.11,22,"Horário sala visível portal público, Laboratório de Informática"
"LCP, LS, LS-PL",Análise de Dados em Ciências Sociais - Descritiva,L5400TP06,S-PL-A2,30,Ter,18:00:00,19:30:00,18/10/2022,Laboratório de Informática,D1.11,22,"Horário sala visível portal público, Laboratório de Informática"
